日期區間,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
102-107,新北市,2373,1461,380,274,182,49,145,23,41,31,-1,14,209,13,83,6,0,-537
102-107,臺北市,1286,591,332,180,131,26,57,18,21,7,6,5,113,10,34,1,1,-247
102-107,桃園市,8472,4229,1875,879,626,20,205,17,114,56,14,50,508,42,139,0,4,-306
102-107,臺中市,3582,1254,667,590,591,1,107,1,22,20,5,10,137,5,265,14,23,-130
102-107,臺南市,1070,368,68,297,157,36,64,17,8,2,1,3,59,-1,25,2,7,-43
102-107,高雄市,2482,732,158,920,276,98,112,-543,8,16,3,5,108,4,66,331,276,-88
102-107,宜蘭縣,960,292,965,26,44,0,22,8,14,0,3,3,78,2,10,1,1,-509
102-107,新竹縣,801,235,428,31,65,5,22,15,20,5,0,-4,25,3,30,0,1,-80
102-107,苗栗縣,352,143,115,43,53,6,-5,2,-24,1,-4,0,27,-1,26,2,0,-32
102-107,彰化縣,472,164,50,96,113,17,23,5,3,1,2,1,18,0,39,2,6,-68
102-107,南投縣,430,107,-229,51,122,-3,6,1,-7,-1,13,0,8,2,372,8,2,-22
102-107,雲林縣,322,109,46,39,55,18,22,3,9,6,-2,0,20,1,10,2,1,-17
102-107,嘉義縣,62,67,5,41,5,9,14,-61,0,2,0,-2,14,0,9,3,0,-44
102-107,屏東縣,1892,328,76,1402,128,237,34,-11,2,-2,1,1,47,1,10,19,6,-387
102-107,臺東縣,-162,-405,76,445,118,68,100,-3,5,64,-3,4,46,3,0,2,1,-683
102-107,花蓮縣,1718,980,17,122,296,8,50,2,8,5,0,21,877,67,100,4,0,-839
102-107,澎湖縣,154,65,27,41,20,6,3,-3,1,2,1,0,-12,0,0,0,3,0
102-107,基隆市,450,329,63,27,2,5,3,6,5,1,0,2,32,0,8,2,0,-35
102-107,新竹市,548,263,148,61,18,1,26,0,31,5,4,2,40,2,9,0,0,-62
102-107,嘉義市,160,71,22,27,11,6,-8,42,2,-1,0,7,6,0,2,0,1,-28
102-107,金門縣,268,148,27,28,36,3,9,5,1,0,0,2,20,1,5,0,1,-18
102-107,連江縣,34,20,1,4,5,-1,0,3,-1,0,0,1,3,0,1,0,0,-2
