日期區間,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
100-107,新北市,4777,3016,700,604,381,85,229,28,79,20,-4,43,401,23,149,6,0,-983
100-107,臺北市,2181,1523,557,322,238,47,110,42,36,5,11,8,223,13,110,1,1,-1066
100-107,桃園市,11640,5979,2306,1338,975,45,275,50,154,49,15,53,767,75,260,0,4,-705
100-107,臺中市,5225,1787,896,965,910,4,152,31,43,25,25,22,211,7,423,14,23,-313
100-107,臺南市,1706,565,140,511,252,63,68,17,9,-1,2,4,102,-1,36,2,7,-70
100-107,高雄市,3959,1295,193,1565,407,93,161,-512,11,14,4,2,174,3,90,331,276,-148
100-107,宜蘭縣,1478,428,1398,55,82,10,32,14,16,-5,4,4,141,-1,22,1,1,-724
100-107,新竹縣,1490,383,903,78,112,6,22,15,53,6,3,-3,72,9,38,0,1,-208
100-107,苗栗縣,581,257,135,78,77,12,-1,2,-19,8,-2,2,39,-1,42,2,0,-50
100-107,彰化縣,604,232,53,150,109,22,22,5,8,0,6,4,34,0,55,2,6,-104
100-107,南投縣,692,182,-525,64,210,-9,8,-7,-2,0,2,1,23,3,756,8,2,-24
100-107,雲林縣,540,226,66,59,106,19,25,-11,13,6,0,-1,33,2,16,2,1,-22
100-107,嘉義縣,269,109,16,53,55,6,20,23,5,0,1,-2,14,0,19,3,0,-53
100-107,屏東縣,2447,387,69,1818,179,455,45,-9,4,-2,2,6,61,1,15,19,6,-609
100-107,臺東縣,-657,-701,100,497,172,96,247,0,6,218,-1,4,47,2,9,2,1,-1356
100-107,花蓮縣,1920,1282,-15,199,462,11,88,3,20,5,0,28,1344,161,191,4,0,-1863
100-107,澎湖縣,219,76,33,57,26,7,8,-1,1,2,1,0,-5,0,10,0,3,1
100-107,基隆市,644,451,116,57,8,6,12,4,4,1,-1,2,69,3,12,2,0,-102
100-107,新竹市,867,385,253,102,51,7,41,6,54,4,2,2,43,1,18,0,0,-102
100-107,嘉義市,170,72,21,36,13,9,-1,30,2,-2,0,7,8,2,2,0,1,-30
100-107,金門縣,517,276,67,61,46,9,13,10,10,0,1,3,29,1,6,0,1,-16
100-107,連江縣,74,34,13,12,3,0,0,4,0,1,0,1,7,0,1,0,0,-2
