日期區間,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
103-107,新北市,1847,1080,313,219,141,58,102,21,34,20,-5,9,158,10,70,3,0,-386
103-107,臺北市,940,418,261,139,105,15,25,21,15,1,7,2,80,8,19,0,1,-177
103-107,桃園市,7244,3696,1634,731,517,24,158,15,85,32,13,37,399,24,95,0,4,-220
103-107,臺中市,3094,999,639,530,500,16,86,13,19,21,0,8,125,3,209,6,18,-98
103-107,臺南市,862,285,67,247,119,32,60,15,5,1,1,0,49,-1,14,0,4,-36
103-107,高雄市,2108,640,124,811,233,75,85,-250,6,16,2,6,94,4,41,138,162,-79
103-107,宜蘭縣,569,220,637,37,31,-1,15,9,12,1,3,2,41,2,7,1,1,-449
103-107,新竹縣,423,126,214,13,37,3,19,14,2,3,0,-3,22,3,23,0,1,-54
103-107,苗栗縣,139,81,37,5,35,4,-10,0,-35,0,1,-1,22,-1,24,2,0,-25
103-107,彰化縣,443,150,54,95,101,8,22,5,1,2,2,1,16,0,31,2,6,-53
103-107,南投縣,314,89,-146,39,72,-3,8,0,-4,-1,0,-1,6,2,260,8,2,-17
103-107,雲林縣,226,77,21,37,29,13,19,0,5,4,0,-1,17,1,10,2,1,-9
103-107,嘉義縣,33,56,14,27,-3,4,7,-57,0,3,0,-1,11,0,10,3,0,-41
103-107,屏東縣,1193,234,26,919,109,141,34,-7,2,-2,1,1,46,1,6,15,5,-338
103-107,臺東縣,-498,-564,54,272,62,50,48,-4,4,71,-2,4,31,3,-2,0,0,-525
103-107,花蓮縣,1165,576,14,79,223,0,52,-1,7,3,0,14,589,27,75,4,0,-497
103-107,澎湖縣,128,58,23,30,15,5,0,-1,1,2,1,0,-8,0,-1,0,3,0
103-107,基隆市,391,276,42,27,8,5,3,5,5,1,0,1,31,0,9,2,0,-24
103-107,新竹市,349,153,106,51,14,-3,22,-5,30,3,1,1,24,1,5,0,0,-54
103-107,嘉義市,131,58,21,21,10,6,-7,37,2,-1,0,5,0,0,2,0,1,-24
103-107,金門縣,177,97,21,25,21,1,5,4,1,0,0,2,15,0,3,0,0,-18
103-107,連江縣,26,21,-5,1,7,0,0,0,-2,0,0,1,2,0,1,0,0,0
