日期區間,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
102-103,新北市,526,381,67,55,41,-9,43,2,7,11,4,5,51,3,13,3,0,-151
102-103,臺北市,346,173,71,41,26,11,32,-3,6,6,-1,3,33,2,15,1,0,-70
102-103,臺中市,488,255,28,60,91,-15,21,-12,3,-1,5,2,12,2,56,8,5,-32
102-103,臺南市,208,83,1,50,38,4,4,2,3,1,0,3,10,0,11,2,3,-7
102-103,高雄市,374,92,34,109,43,23,27,-293,2,0,1,-1,14,0,25,193,114,-9
102-103,宜蘭縣,391,72,328,-11,13,1,7,-1,2,-1,0,1,37,0,3,0,0,-60
102-103,桃園縣,1228,533,241,148,109,-4,47,2,29,24,1,13,109,18,44,0,0,-86
102-103,新竹縣,378,109,214,18,28,2,3,1,18,2,0,-1,3,0,7,0,0,-26
102-103,苗栗縣,213,62,78,38,18,2,5,2,11,1,-5,1,5,0,2,0,0,-7
102-103,彰化縣,29,14,-4,1,12,9,1,0,2,-1,0,0,2,0,8,0,0,-15
102-103,南投縣,116,18,-83,12,50,0,-2,1,-3,0,13,1,2,0,112,0,0,-5
102-103,雲林縣,96,32,25,2,26,5,3,3,4,2,-2,1,3,0,0,0,0,-8
102-103,嘉義縣,29,11,-9,14,8,5,7,-4,0,-1,0,-1,3,0,-1,0,0,-3
102-103,屏東縣,699,94,50,483,19,96,0,-4,0,0,0,0,1,0,4,4,1,-49
102-103,臺東縣,336,159,22,173,56,18,52,1,1,-7,-1,0,15,0,2,2,1,-158
102-103,花蓮縣,553,404,3,43,73,8,-2,3,1,2,0,7,288,40,25,0,0,-342
102-103,澎湖縣,26,7,4,11,5,1,3,-2,0,0,0,0,-4,0,1,0,0,0
102-103,基隆市,59,53,21,0,-6,0,0,1,0,0,0,1,1,0,-1,0,0,-11
102-103,新竹市,199,110,42,10,4,4,4,5,1,2,3,1,16,1,4,0,0,-8
102-103,嘉義市,29,13,1,6,1,0,-1,5,0,0,0,2,6,0,0,0,0,-4
102-103,金門縣,91,51,6,3,15,2,4,1,0,0,0,0,5,1,2,0,1,0
102-103,連江縣,8,-1,6,3,-2,-1,0,3,1,0,0,0,1,0,0,0,0,-2
